Date,Country/Territory,Suspected,Confirmed,Imported Cases,Incidence Rate,Zika Case Deaths,Zika Congenital Syndrome,Population x1000e,Noncumulative Suspected,Noncumulative Confirmed,Noncumulative Zika Case Deaths,Noncumulative Zika Congenital Syndrome
2016-11-30,Aruba,614,28,7.0,563.1578947368421,0.0,0.0,114,0,0,0.0,0.0
2016-11-30,Bahamas,0,21,3.0,5.343511450381679,0.0,0.0,393,0,0,0.0,0.0
2016-11-30,Barbados,653,37,0.0,237.11340206185568,0.0,0.0,291,0,0,0.0,0.0
2016-11-30,"Bonaire, St Eustatius and Saba",0,85,0.0,340.0,0.0,0.0,25,0,0,0.0,0.0
2016-11-30,Cayman Islands,201,29,10.0,403.50877192982455,0.0,0.0,57,0,0,0.0,0.0
2016-11-30,Curacao,0,820,0.0,550.3355704697987,0.0,0.0,149,0,0,0.0,0.0
2016-11-30,Argentina,1821,26,27.0,4.212374848906425,0.0,1.0,43847,0,0,0.0,0.0
2016-11-30,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,0,0,0.0,0.0
2016-11-30,Guyana,0,6,0.0,0.7782101167315175,0.0,0.0,771,0,0,0.0,0.0
2016-11-30,Jamaica,7052,186,0.0,258.2233321441313,0.0,0.0,2803,0,0,0.0,0.0
2016-11-30,Montserrat ,0,2,0.0,40.0,0.0,0.0,5,0,0,0.0,0.0
2016-11-30,Saint Kitts and Nevis,532,26,0.0,1073.076923076923,0.0,0.0,52,0,0,0.0,0.0
2016-11-30,Saint Lucia,822,50,0.0,531.7073170731708,0.0,0.0,164,0,0,0.0,0.0
2016-11-30,Saint Vincent and the Grenadines,156,38,0.0,190.19607843137254,0.0,0.0,102,0,0,0.0,0.0
2016-11-30,Sint Maarten (Dutch part),168,62,0.0,560.9756097560976,0.0,0.0,41,0,0,0.0,0.0
2016-11-30,Suriname,2755,723,0.0,634.6715328467153,4.0,2.0,548,0,0,0.0,0.0
2016-11-30,Trinidad and Tobago,0,643,1.0,47.10622710622711,0.0,1.0,1365,0,0,0.0,0.0
2016-11-30,Turks and Caicos Islands,115,12,3.0,249.01960784313727,0.0,0.0,51,0,0,0.0,0.0
2016-11-30,Virgin Islands (UK),51,38,0.0,261.7647058823529,0.0,0.0,34,0,0,0.0,0.0
2016-11-30,Virgin Islands (US),803,462,0.0,1228.1553398058252,0.0,0.0,103,0,0,0.0,0.0
2016-11-30,Grenada,314,109,0.0,381.0810810810811,0.0,1.0,111,0,1,0.0,0.0
2016-11-30,TOTAL,518290,173347,4894.0,69.2995270730632,15.0,2383.0,998040,422,745,0.0,53.0
2016-11-30,Subtotal ,159225,12350,37.0,123.59530327042214,0.0,69.0,138820,156821,12312,0.0,66.0
2016-11-30,Peru,0,171,18.0,0.5450372920252439,0.0,0.0,31374,0,26,0.0,0.0
2016-11-30,Bermuda ,0,0,5.0,0.0,0.0,0.0,71,0,0,0.0,0.0
2016-11-30,Canada,0,0,374.0,0.0,0.0,0.0,36286,0,0,0.0,0.0
2016-11-30,United States of America,0,183,4261.0,0.05646074435623953,0.0,33.0,324119,0,43,0.0,2.0
2016-11-30,Subtotal ,0,183,4640.0,0.05076620912349227,0.0,33.0,360476,-159225,-12167,0.0,-36.0
2016-11-30,Mexico,0,6764,15.0,5.258411592760744,0.0,0.0,128632,0,122,0.0,0.0
2016-11-30,Belize ,537,49,0.0,159.67302452316076,0.0,0.0,367,0,0,0.0,0.0
2016-11-30,Costa Rica,2618,1453,32.0,83.81717109326745,0.0,2.0,4857,0,0,0.0,0.0
2016-11-30,El Salvador,11363,51,0.0,185.71428571428572,0.0,4.0,6146,10,0,0.0,0.0
2016-11-30,Guatemala,2785,466,0.0,19.498590535596474,0.0,15.0,16673,0,0,0.0,0.0
2016-11-30,Honduras,31863,298,0.0,392.6862026862027,0.0,2.0,8190,0,0,0.0,0.0
2016-11-30,Nicaragua,0,2045,3.0,33.2520325203252,0.0,0.0,6150,0,1,0.0,0.0
2016-11-30,Panama,2168,544,42.0,67.96992481203007,0.0,5.0,3990,79,27,0.0,0.0
2016-11-30,Venezuela (Bolivarian Republic of),59147,2380,0.0,195.20606618230275,0.0,0.0,31519,0,0,0.0,0.0
2016-11-30,Subtotal ,51334,4906,77.0,121.27746749185948,0.0,28.0,46373,51334,4723,0.0,-5.0
2016-11-30,Dominican Republic,4898,327,0.0,49.065639966194006,0.0,22.0,10649,5,0,0.0,12.0
2016-11-30,French Guiana,9700,483,10.0,3689.4927536231885,0.0,14.0,276,0,0,0.0,0.0
2016-11-30,Guadeloupe,30845,379,0.0,6629.299363057325,0.0,1.0,471,0,0,0.0,0.0
2016-11-30,Haiti,2955,5,0.0,27.28613569321534,0.0,1.0,10848,0,0,0.0,0.0
2016-11-30,Martinique,36680,12,0.0,9265.656565656565,0.0,14.0,396,0,0,0.0,0.0
2016-11-30,Puerto Rico,0,34562,1.0,938.9296386851399,5.0,5.0,3681,0,492,0.0,1.0
2016-11-30,Saint Barthelemy,930,61,0.0,11011.111111111111,0.0,0.0,9,30,0,0.0,0.0
2016-11-30,Saint Martin,2950,200,0.0,8750.0,0.0,0.0,36,125,0,0.0,0.0
2016-11-30,Subtotal ,88958,36032,41.0,331.0204189729601,5.0,57.0,37759,37624,31126,5.0,29.0
2016-11-30,Bolivia (Plurinational State of),718,140,4.0,7.880235121234387,0.0,9.0,10888,0,11,0.0,6.0
2016-11-30,Colombia,96692,8826,0.0,216.87425494306737,0.0,60.0,48654,146,0,0.0,2.0
