index,Country/Territory,Suspected,Confirmed,Imported Cases,Incidence Rate,Zika Case Deaths,Zika Congenital Syndrome,Population x1000e,Congenital Suspected,Congenital Probable,GBS,Confirmed congenital syndrome,Date,Year,Month,Day,Noncumulative Suspected,Noncumulative Confirmed,Noncumulative Zika Case Deaths,Noncumulative Zika Congenital Syndrome
53,Grenada,335,112,0.0,402.7027027027027,0.0,1.0,111,8,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
54,Guyana,0,37,0.0,4.786545924967658,0.0,0.0,773,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
55,Jamaica,7371,203,0.0,269.72934472934475,0.0,0.0,2808,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
56,Montserrat ,18,5,0.0,460.0,0.0,0.0,5,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
57,Saint Kitts and Nevis,549,33,0.0,1098.1132075471698,0.0,0.0,53,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
58,Saint Lucia,822,50,0.0,528.4848484848485,0.0,0.0,165,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
60,Sint Maarten (Dutch part),247,147,0.0,938.0952380952381,0.0,0.0,42,0,0,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
61,Suriname,2764,723,0.0,636.3138686131387,4.0,4.0,548,2,5,15,4,2017-02-23,2017,feb,23,0,0,0.0,0.0
62,Trinidad and Tobago,0,718,1.0,52.52377468910022,0.0,1.0,1367,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
63,Turks and Caicos Islands,175,25,3.0,384.61538461538464,0.0,0.0,52,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
64,Virgin Islands (UK),74,52,0.0,360.0,0.0,0.0,35,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
65,Virgin Islands (US),1059,985,2.0,1984.4660194174758,0.0,0.0,103,,,,,2017-02-23,2017,feb,23,-1,12,0.0,0.0
67,TOTAL,549111,204186,5655.0,75.06629238003845,20.0,2726.0,1003509,9611,3216,1366,93,2017-02-23,2017,feb,23,904,468,0.0,11.0
52,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
35,Subtotal ,163172,13783,40.0,126.74497725889051,0.0,127.0,139615,195,216,417,0,2017-02-23,2017,feb,23,160310,13743,0.0,123.0
66,Subtotal ,19952,5023,29.0,338.3229477106475,4.0,6.0,7382,10,5,15,4,2017-02-23,2017,feb,23,-143220,-8760,4.0,-121.0
33,Peru,2564,450,21.0,9.427588364091335,0.0,0.0,31970,,,,,2017-02-23,2017,feb,23,90,12,0.0,0.0
2,Bermuda ,0,0,6.0,0.0,0.0,0.0,71,0,0,0,0,2017-02-23,2017,feb,23,0,0,0.0,0.0
3,Canada,0,0,473.0,0.0,0.0,1.0,36284,0,0,0,0,2017-02-23,2017,feb,23,0,0,0.0,0.0
4,United States of America,0,222,4747.0,0.06824553637302641,0.0,48.0,325296,0,0,0,7,2017-02-23,2017,feb,23,0,1,0.0,5.0
5,Subtotal ,0,222,5226.0,0.061385147559387364,0.0,49.0,361651,0,0,0,7,2017-02-23,2017,feb,23,-19952,-4801,-4.0,43.0
8,Mexico,0,7873,15.0,6.1209416594103745,0.0,1.0,128624,0,0,419,0,2017-02-23,2017,feb,23,0,13,0.0,0.0
10,Belize ,816,73,0.0,239.62264150943398,0.0,0.0,371,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
12,El Salvador,11506,51,0.0,188.01041158288595,0.0,4.0,6147,,,,,2017-02-23,2017,feb,23,17,0,0.0,0.0
13,Guatemala,3464,890,0.0,26.112510495382033,0.0,37.0,16674,5,0,47,13,2017-02-23,2017,feb,23,91,102,0.0,1.0
14,Honduras,32079,298,0.0,395.32356532356533,0.0,2.0,8190,61,0,141,1,2017-02-23,2017,feb,23,9,0,0.0,0.0
15,Nicaragua,0,2060,3.0,33.3117723156533,0.0,2.0,6184,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
16,Panama,3762,897,42.0,116.76691729323308,0.0,5.0,3990,35,5,13,3,2017-02-23,2017,feb,23,273,53,0.0,0.0
17,Subtotal ,57704,5994,77.0,137.17079053341087,0.0,52.0,46437,101,5,201,18,2017-02-23,2017,feb,23,57704,5772,0.0,3.0
11,Costa Rica,6077,1725,32.0,159.84429420200777,0.0,2.0,4881,0,0,0,1,2017-02-23,2017,feb,23,28,3,0.0,0.0
20,Dominican Republic,4896,345,0.0,48.94471423234965,0.0,59.0,10708,16,0,274,30,2017-02-23,2017,feb,23,0,0,0.0,0.0
19,Cuba,0,187,58.0,1.641502808988764,0.0,0.0,11392,,,29,,2017-02-23,2017,feb,23,0,0,0.0,0.0
32,Ecuador,2785,929,15.0,22.500908760450745,0.0,0.0,16506,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
31,Colombia,97301,9799,0.0,220.14388489208633,0.0,113.0,48650,195,216,417,0,2017-02-23,2017,feb,23,81,0,0.0,5.0
30,Bolivia (Plurinational State of),837,192,4.0,9.379272627837025,0.0,14.0,10971,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
28,Subtotal ,89786,40411,205.0,343.6455776387679,5.0,121.0,37887,16,1,314,64,2017-02-23,2017,feb,23,32082,34417,5.0,69.0
27,Saint Martin,3215,200,0.0,9486.111111111111,0.0,1.0,36,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
34,Venezuela (Bolivarian Republic of),59685,2413,0.0,197.0239228377435,0.0,0.0,31518,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
25,Puerto Rico,0,38733,137.0,1052.2412387938061,5.0,12.0,3681,0,1,11,34,2017-02-23,2017,feb,23,0,272,0.0,0.0
24,Martinique,36680,15,0.0,9266.414141414141,0.0,19.0,396,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
23,Haiti,2955,5,0.0,27.11615976548186,0.0,1.0,10916,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
22,Guadeloupe,30845,382,0.0,6615.889830508475,0.0,13.0,472,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
21,French Guiana,10205,483,10.0,3872.463768115942,0.0,16.0,276,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
26,Saint Barthelemy,990,61,0.0,10510.0,0.0,0.0,10,,,,,2017-02-23,2017,feb,23,0,0,0.0,0.0
24,Martinique,36680,21,0.0,9267.929292929293,0.0,22.0,396,,,,,2017-03-02,2017,mar,2,0,6,0.0,3.0
25,Puerto Rico,0,38940,137.0,1057.8647106764465,5.0,12.0,3681,0,1,11,34,2017-03-02,2017,mar,2,0,207,0.0,0.0
26,Saint Barthelemy,990,61,0.0,10510.0,0.0,0.0,10,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
27,Saint Martin,3215,200,0.0,9486.111111111111,0.0,1.0,36,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
28,Subtotal ,89901,40624,205.0,344.51130994800326,5.0,126.0,37887,16,1,314,64,2017-03-02,2017,mar,2,115,213,0.0,5.0
32,Ecuador,2785,929,15.0,22.500908760450745,0.0,0.0,16506,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
31,Colombia,97384,9799,0.0,220.31449126413156,0.0,127.0,48650,195,216,417,0,2017-03-02,2017,mar,2,83,0,0.0,14.0
33,Peru,1919,864,22.0,8.70503597122302,0.0,0.0,31970,,,,,2017-03-02,2017,mar,2,-645,414,0.0,0.0
34,Venezuela (Bolivarian Republic of),59685,2413,0.0,197.0239228377435,0.0,0.0,31518,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
35,Subtotal ,162610,14197,41.0,126.63897145722164,0.0,141.0,139615,195,216,417,0,2017-03-02,2017,mar,2,72709,-26427,-5.0,15.0
4,United States of America,0,222,4747.0,0.06824553637302641,0.0,48.0,325296,0,0,0,7,2017-03-02,2017,mar,2,0,0,0.0,0.0
30,Bolivia (Plurinational State of),837,192,4.0,9.379272627837025,0.0,14.0,10971,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
36,Brazil,215635,130840,0.0,165.34003330899583,11.0,2386.0,209553,9289,2989,,,2017-03-02,2017,mar,2,0,0,0.0,20.0
8,Mexico,0,8069,15.0,6.273323796492101,0.0,1.0,128624,0,0,419,0,2017-03-02,2017,mar,2,0,196,0.0,0.0
22,Guadeloupe,30845,382,0.0,6615.889830508475,0.0,14.0,472,,,,,2017-03-02,2017,mar,2,0,0,0.0,1.0
21,French Guiana,10320,483,10.0,3914.1304347826085,0.0,17.0,276,,,,,2017-03-02,2017,mar,2,115,0,0.0,1.0
20,Dominican Republic,4896,345,0.0,48.94471423234965,0.0,59.0,10708,16,0,274,30,2017-03-02,2017,mar,2,0,0,0.0,0.0
19,Cuba,0,187,58.0,1.641502808988764,0.0,0.0,11392,,,29,,2017-03-02,2017,mar,2,0,0,0.0,0.0
17,Subtotal ,57722,5994,77.0,137.20955272735102,0.0,52.0,46437,101,5,201,18,2017-03-02,2017,mar,2,-104888,-8203,0.0,-89.0
16,Panama,3762,897,42.0,116.76691729323308,0.0,5.0,3990,35,5,13,3,2017-03-02,2017,mar,2,0,0,0.0,0.0
15,Nicaragua,0,2060,3.0,33.3117723156533,0.0,2.0,6184,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
14,Honduras,32091,298,0.0,395.47008547008545,0.0,2.0,8190,61,0,141,1,2017-03-02,2017,mar,2,12,0,0.0,0.0
13,Guatemala,3464,890,0.0,26.112510495382033,0.0,37.0,16674,5,0,47,13,2017-03-02,2017,mar,2,0,0,0.0,0.0
12,El Salvador,11512,51,0.0,188.10802017244185,0.0,4.0,6147,,,,,2017-03-02,2017,mar,2,6,0,0.0,0.0
11,Costa Rica,6077,1725,32.0,159.84429420200777,0.0,2.0,4881,0,0,0,1,2017-03-02,2017,mar,2,0,0,0.0,0.0
10,Belize ,816,73,0.0,239.62264150943398,0.0,0.0,371,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
38,Argentina,2251,26,29.0,5.167952791647753,0.0,2.0,44060,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
23,Haiti,2955,5,0.0,27.11615976548186,0.0,1.0,10916,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
39,Chile,0,0,33.0,0.0,0.0,0.0,18131,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
54,Guyana,0,37,0.0,4.786545924967658,0.0,0.0,773,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
41,Uruguay,0,0,1.0,0.0,0.0,0.0,3444,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
2,Bermuda ,0,0,6.0,0.0,0.0,0.0,71,0,0,0,0,2017-03-02,2017,mar,2,0,0,0.0,0.0
3,Canada,0,0,473.0,0.0,0.0,1.0,36284,0,0,0,0,2017-03-02,2017,mar,2,0,0,0.0,0.0
67,TOTAL,548690,205013,5656.0,75.10675041280147,20.0,2767.0,1003509,9611,3216,1366,93,2017-03-02,2017,mar,2,-421,827,0.0,41.0
66,Subtotal ,19958,5027,29.0,338.4584123543755,4.0,8.0,7382,10,5,15,4,2017-03-02,2017,mar,2,-37764,-967,4.0,-44.0
65,Virgin Islands (US),1062,989,2.0,1991.2621359223301,0.0,0.0,103,,,,,2017-03-02,2017,mar,2,3,4,0.0,0.0
64,Virgin Islands (UK),74,52,0.0,360.0,0.0,0.0,35,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
63,Turks and Caicos Islands,175,25,3.0,384.61538461538464,0.0,0.0,52,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
62,Trinidad and Tobago,0,718,1.0,52.52377468910022,0.0,3.0,1367,,,,,2017-03-02,2017,mar,2,0,0,0.0,2.0
61,Suriname,2767,723,0.0,636.8613138686131,4.0,4.0,548,2,5,15,4,2017-03-02,2017,mar,2,3,0,0.0,0.0
60,Sint Maarten (Dutch part),247,147,0.0,938.0952380952381,0.0,0.0,42,0,0,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
59,Saint Vincent and the Grenadines,508,83,0.0,579.4117647058823,0.0,0.0,102,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
58,Saint Lucia,822,50,0.0,528.4848484848485,0.0,0.0,165,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
40,Paraguay,613,14,0.0,9.323420074349443,0.0,2.0,6725,,,,,2017-03-02,2017,mar,2,2,0,0.0,0.0
57,Saint Kitts and Nevis,549,33,0.0,1098.1132075471698,0.0,0.0,53,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
55,Jamaica,7371,203,0.0,269.72934472934475,0.0,0.0,2808,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
5,Subtotal ,0,222,5226.0,0.061385147559387364,0.0,49.0,361651,0,0,0,7,2017-03-02,2017,mar,2,-19958,-4805,-4.0,41.0
53,Grenada,335,112,0.0,402.7027027027027,0.0,1.0,111,8,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
52,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
51,Curacao,2589,1259,0.0,2582.55033557047,0.0,0.0,149,0,0,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
50,Cayman Islands,217,31,10.0,427.58620689655174,0.0,0.0,58,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
49,"Bonaire, St Eustatius and Saba",0,343,0.0,1372.0,0.0,0.0,25,0,0,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
48,Barbados,699,46,0.0,255.13698630136986,0.0,0.0,292,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
47,Bahamas,0,25,3.0,6.329113924050633,0.0,0.0,395,0,0,0,0,2017-03-02,2017,mar,2,0,0,0.0,0.0
46,Aruba,880,34,7.0,801.7543859649123,0.0,0.0,114,0,0,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
45,Antigua and Barbuda,465,14,2.0,509.5744680851064,0.0,0.0,94,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
44,Anguilla,30,19,1.0,288.2352941176471,0.0,0.0,17,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
42,Subtotal ,2864,40,63.0,4.013266998341625,0.0,4.0,72360,0,0,0,0,2017-03-02,2017,mar,2,2864,-182,0.0,-45.0
56,Montserrat ,18,5,0.0,460.0,0.0,0.0,5,,,,,2017-03-02,2017,mar,2,0,0,0.0,0.0
21,French Guiana,10320,483,10.0,3914.1304347826085,0.0,17.0,276,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
3,Canada,0,0,473.0,0.0,0.0,1.0,36284,0,0,0,0,2017-03-09,2017,mar,9,0,0,0.0,0.0
42,Subtotal ,2901,42,63.0,4.067164179104478,0.0,4.0,72360,0,0,0,0,2017-03-09,2017,mar,9,37,2,0.0,0.0
44,Anguilla,28,22,1.0,294.11764705882354,0.0,0.0,17,,,,,2017-03-09,2017,mar,9,-2,3,0.0,0.0
45,Antigua and Barbuda,465,14,2.0,509.5744680851064,0.0,0.0,94,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
46,Aruba,880,34,7.0,801.7543859649123,0.0,0.0,114,0,0,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
47,Bahamas,0,25,3.0,6.329113924050633,0.0,0.0,395,0,0,0,0,2017-03-09,2017,mar,9,0,0,0.0,0.0
48,Barbados,699,46,0.0,255.13698630136986,0.0,0.0,292,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
49,"Bonaire, St Eustatius and Saba",0,343,0.0,1372.0,0.0,0.0,25,0,0,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
50,Cayman Islands,217,31,10.0,427.58620689655174,0.0,0.0,58,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
51,Curacao,2589,1259,0.0,2582.55033557047,0.0,0.0,149,0,0,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
52,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
53,Grenada,335,112,0.0,402.7027027027027,0.0,1.0,111,8,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
54,Guyana,0,37,0.0,4.786545924967658,0.0,0.0,773,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
55,Jamaica,7371,203,0.0,269.72934472934475,0.0,0.0,2808,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
56,Montserrat ,18,5,0.0,460.0,0.0,0.0,5,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
57,Saint Kitts and Nevis,549,33,0.0,1098.1132075471698,0.0,0.0,53,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
58,Saint Lucia,822,50,0.0,528.4848484848485,0.0,0.0,165,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
59,Saint Vincent and the Grenadines,508,83,0.0,579.4117647058823,0.0,0.0,102,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
60,Sint Maarten (Dutch part),247,147,0.0,938.0952380952381,0.0,0.0,42,0,0,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
61,Suriname,2767,723,0.0,636.8613138686131,4.0,4.0,548,2,5,15,4,2017-03-09,2017,mar,9,0,0,0.0,0.0
62,Trinidad and Tobago,0,718,1.0,52.52377468910022,0.0,3.0,1367,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
63,Turks and Caicos Islands,175,25,3.0,384.61538461538464,0.0,0.0,52,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
64,Virgin Islands (UK),74,52,0.0,360.0,0.0,0.0,35,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
65,Virgin Islands (US),1063,992,2.0,1995.1456310679612,0.0,0.0,103,,,,,2017-03-09,2017,mar,9,1,3,0.0,0.0
66,Subtotal ,19957,5033,29.0,338.5261446762395,4.0,8.0,7382,10,5,15,4,2017-03-09,2017,mar,9,17056,4991,4.0,4.0
67,TOTAL,548960,205500,5722.0,75.18218571034241,20.0,2767.0,1003509,9611,3216,1366,93,2017-03-09,2017,mar,9,270,487,0.0,0.0
41,Uruguay,0,0,1.0,0.0,0.0,0.0,3444,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
40,Paraguay,650,14,0.0,9.87360594795539,0.0,2.0,6725,,,,,2017-03-09,2017,mar,9,37,0,0.0,0.0
39,Chile,0,0,33.0,0.0,0.0,0.0,18131,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
38,Argentina,2251,28,29.0,5.172492056286882,0.0,2.0,44060,,,,,2017-03-09,2017,mar,9,0,2,0.0,0.0
4,United States of America,0,222,4813.0,0.06824553637302641,0.0,52.0,325296,0,0,0,7,2017-03-09,2017,mar,9,0,0,0.0,4.0
5,Subtotal ,0,222,5292.0,0.061385147559387364,0.0,53.0,361651,0,0,0,7,2017-03-09,2017,mar,9,-19957,-4811,-4.0,45.0
8,Mexico,0,8113,15.0,6.307532031347183,0.0,1.0,128624,0,0,419,0,2017-03-09,2017,mar,9,0,44,0.0,0.0
10,Belize ,816,73,0.0,239.62264150943398,0.0,0.0,371,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
11,Costa Rica,6131,1743,32.0,161.31940176193402,0.0,2.0,4881,0,0,0,1,2017-03-09,2017,mar,9,54,18,0.0,0.0
12,El Salvador,11523,51,0.0,188.2869692532943,0.0,4.0,6147,,,,,2017-03-09,2017,mar,9,11,0,0.0,0.0
13,Guatemala,3464,890,0.0,26.112510495382033,0.0,37.0,16674,5,0,47,13,2017-03-09,2017,mar,9,0,0,0.0,0.0
14,Honduras,32105,298,0.0,395.64102564102564,0.0,2.0,8190,61,0,141,1,2017-03-09,2017,mar,9,14,0,0.0,0.0
15,Nicaragua,0,2060,3.0,33.3117723156533,0.0,2.0,6184,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
16,Panama,3762,897,42.0,116.76691729323308,0.0,5.0,3990,35,5,13,3,2017-03-09,2017,mar,9,0,0,0.0,0.0
17,Subtotal ,57801,6012,77.0,137.4184378835842,0.0,52.0,46437,101,5,201,18,2017-03-09,2017,mar,9,57801,5790,0.0,-1.0
19,Cuba,0,187,58.0,1.641502808988764,0.0,0.0,11392,,,29,,2017-03-09,2017,mar,9,0,0,0.0,0.0
2,Bermuda ,0,0,6.0,0.0,0.0,0.0,71,0,0,0,0,2017-03-09,2017,mar,9,0,0,0.0,0.0
20,Dominican Republic,4896,345,0.0,48.94471423234965,0.0,54.0,10708,16,0,274,30,2017-03-09,2017,mar,9,0,0,0.0,-5.0
24,Martinique,36680,21,0.0,9267.929292929293,0.0,22.0,396,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
25,Puerto Rico,0,39339,137.0,1068.7041564792175,5.0,12.0,3681,0,1,11,34,2017-03-09,2017,mar,9,0,399,0.0,0.0
26,Saint Barthelemy,990,61,0.0,10510.0,0.0,0.0,10,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
27,Saint Martin,3215,200,0.0,9486.111111111111,0.0,1.0,36,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
28,Subtotal ,89901,41023,205.0,345.56444162905484,5.0,121.0,37887,16,1,314,64,2017-03-09,2017,mar,9,32100,35011,5.0,69.0
30,Bolivia (Plurinational State of),837,192,4.0,9.379272627837025,0.0,14.0,10971,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
31,Colombia,97404,9802,0.0,220.3617677286742,0.0,128.0,48650,195,216,417,0,2017-03-09,2017,mar,9,20,3,0.0,1.0
32,Ecuador,2785,929,15.0,22.500908760450745,0.0,0.0,16506,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
33,Peru,1952,879,22.0,8.855176728182672,0.0,0.0,31970,,,,,2017-03-09,2017,mar,9,33,15,0.0,0.0
34,Venezuela (Bolivarian Republic of),59787,2413,0.0,197.34754743321275,0.0,0.0,31518,,,,,2017-03-09,2017,mar,9,102,0,0.0,0.0
35,Subtotal ,162765,14215,41.0,126.76288364430756,0.0,142.0,139615,195,216,417,0,2017-03-09,2017,mar,9,72864,-26808,-5.0,21.0
36,Brazil,215635,130840,0.0,165.34003330899583,11.0,2386.0,209553,9289,2989,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
22,Guadeloupe,30845,382,0.0,6615.889830508475,0.0,14.0,472,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
23,Haiti,2955,5,0.0,27.11615976548186,0.0,1.0,10916,,,,,2017-03-09,2017,mar,9,0,0,0.0,0.0
67,TOTAL,550721,205942,5759.0,75.40171538072902,20.0,2774.0,1003509,9611,3216,1366,93,2017-03-16,2017,mar,16,1761,442,0.0,7.0
2,Bermuda ,0,0,6.0,0.0,0.0,0.0,71,0,0,0,0,2017-03-16,2017,mar,16,0,0,0.0,0.0
40,Paraguay,650,14,0.0,9.87360594795539,0.0,2.0,6725,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
41,Uruguay,0,0,1.0,0.0,0.0,0.0,3444,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
42,Subtotal ,2901,49,66.0,4.076838032061913,0.0,4.0,72360,0,0,0,0,2017-03-16,2017,mar,16,-159864,-14166,0.0,-138.0
44,Anguilla,28,22,1.0,294.11764705882354,0.0,0.0,17,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
45,Antigua and Barbuda,465,14,2.0,509.5744680851064,0.0,0.0,94,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
46,Aruba,880,34,7.0,801.7543859649123,0.0,0.0,114,0,0,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
47,Bahamas,0,25,3.0,6.329113924050633,0.0,0.0,395,0,0,0,0,2017-03-16,2017,mar,16,0,0,0.0,0.0
48,Barbados,699,46,0.0,255.13698630136986,0.0,0.0,292,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
49,"Bonaire, St Eustatius and Saba",0,343,0.0,1372.0,0.0,0.0,25,0,0,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
50,Cayman Islands,217,31,10.0,427.58620689655174,0.0,0.0,58,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
51,Curacao,2589,1259,0.0,2582.55033557047,0.0,0.0,149,0,0,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
39,Chile,0,0,33.0,0.0,0.0,0.0,18131,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
53,Grenada,335,112,0.0,402.7027027027027,0.0,1.0,111,8,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
55,Jamaica,7371,203,0.0,269.72934472934475,0.0,0.0,2808,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
56,Montserrat ,18,5,0.0,460.0,0.0,0.0,5,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
57,Saint Kitts and Nevis,549,33,0.0,1098.1132075471698,0.0,0.0,53,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
58,Saint Lucia,822,50,0.0,528.4848484848485,0.0,0.0,165,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
59,Saint Vincent and the Grenadines,508,83,0.0,579.4117647058823,0.0,0.0,102,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
60,Sint Maarten (Dutch part),247,147,0.0,938.0952380952381,0.0,0.0,42,0,0,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
61,Suriname,2767,723,0.0,636.8613138686131,4.0,4.0,548,2,5,15,4,2017-03-16,2017,mar,16,0,0,0.0,0.0
62,Trinidad and Tobago,0,718,1.0,52.52377468910022,0.0,3.0,1367,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
63,Turks and Caicos Islands,175,25,3.0,384.61538461538464,0.0,0.0,52,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
64,Virgin Islands (UK),74,52,0.0,360.0,0.0,0.0,35,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
65,Virgin Islands (US),1072,995,2.0,2006.7961165048544,0.0,0.0,103,,,,,2017-03-16,2017,mar,16,9,3,0.0,0.0
66,Subtotal ,19966,5036,29.0,338.68870224871307,4.0,8.0,7382,10,5,15,4,2017-03-16,2017,mar,16,17065,4987,4.0,4.0
54,Guyana,0,37,0.0,4.786545924967658,0.0,0.0,773,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
38,Argentina,2251,35,32.0,5.188379482523831,0.0,2.0,44060,,,,,2017-03-16,2017,mar,16,0,7,0.0,0.0
52,Dominica,1150,79,0.0,1660.8108108108108,0.0,0.0,74,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
35,Subtotal ,162964,14334,41.0,126.99065286681231,0.0,145.0,139615,195,216,417,0,2017-03-16,2017,mar,16,142998,9298,-4.0,137.0
36,Brazil,216972,130976,0.0,166.04295810606385,11.0,2386.0,209553,9289,2989,,,2017-03-16,2017,mar,16,1337,136,0.0,0.0
4,United States of America,0,223,4842.0,0.06855294869903103,0.0,52.0,325296,0,0,0,7,2017-03-16,2017,mar,16,0,1,0.0,0.0
5,Subtotal ,0,223,5326.0,0.0616616572330783,0.0,53.0,361651,0,0,0,7,2017-03-16,2017,mar,16,-162964,-14111,0.0,-92.0
8,Mexico,0,8127,15.0,6.318416469710163,0.0,5.0,128624,0,0,419,0,2017-03-16,2017,mar,16,0,14,0.0,4.0
10,Belize ,816,73,0.0,239.62264150943398,0.0,0.0,371,,,,,2017-03-16,2017,mar,16,0,0,0.0,0.0
11,Costa Rica,6131,1743,32.0,161.31940176193402,0.0,2.0,4881,0,0,0,1,2017-03-16,2017,mar,16,0,0,0.0,0.0
